

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
FREN,2016-11-17,55,55,0,0.00,1069300,
FREN,2016-11-16,56,55,-1,-1.79,264600,
FREN,2016-11-15,55,56,1,1.82,1656500,
FREN,2016-11-14,57,55,-2,-3.51,1122800,
FREN,2016-11-11,57,57,0,0.00,369200,
FREN,2016-11-10,57,57,0,0.00,456400,
FREN,2016-11-09,56,57,1,1.79,752500,
FREN,2016-11-08,57,56,-1,-1.75,1855700,
FREN,2016-11-07,58,57,-1,-1.72,275500,
FREN,2016-11-04,57,58,1,1.75,1171100,
FREN,2016-11-03,58,57,-1,-1.72,1663700,
FREN,2016-11-02,58,58,0,0.00,13046000,
FREN,2016-11-01,58,58,0,0.00,5039500,
FREN,2016-10-31,58,58,0,0.00,379500,
FREN,2016-10-28,57,58,1,1.75,1566400,
FREN,2016-10-27,58,57,-1,-1.72,11358100,
FREN,2016-10-26,60,58,-2,-3.33,1562400,
