

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
ISAT,2019-02-19,3700,3600,-100,-2.70,17902200,
ISAT,2019-02-18,3700,3700,0,0.00,13683800,
ISAT,2019-02-15,3750,3700,-50,-1.33,25485200,
ISAT,2019-02-14,3200,3750,550,17.19,48687600,
ISAT,2019-02-13,3260,3200,-60,-1.84,14872000,
ISAT,2019-02-12,3520,3260,-260,-7.39,26491500,
ISAT,2019-02-11,3460,3520,60,1.73,24296000,
ISAT,2019-02-08,3490,3460,-30,-0.86,14783300,
ISAT,2019-02-07,3300,3490,190,5.76,39122700,
ISAT,2019-02-06,3100,3300,200,6.45,40858800,
ISAT,2019-02-04,2920,3100,180,6.16,60997000,
ISAT,2019-02-01,2740,2920,180,6.57,48055300,
ISAT,2019-01-31,2690,2740,50,1.86,12839900,
ISAT,2019-01-30,2690,2690,0,0.00,15693100,
ISAT,2019-01-29,2750,2690,-60,-2.18,7087700,
ISAT,2019-01-28,2700,2750,50,1.85,30278100,
ISAT,2019-01-25,2880,2700,-180,-6.25,12039500,
ISAT,2019-01-24,2960,2880,-80,-2.70,48583900,
ISAT,2019-01-23,2380,2960,580,24.37,59472800,
ISAT,2019-01-22,2090,2380,290,13.88,45643300,
ISAT,2019-01-21,2120,2090,-30,-1.42,2396500,
ISAT,2019-01-18,2040,2120,80,3.92,3444100,
ISAT,2019-01-17,2100,2040,-60,-2.86,2893700,
ISAT,2019-01-16,2130,2100,-30,-1.41,12134200,
ISAT,2019-01-15,2100,2130,30,1.43,10217900,
ISAT,2019-01-14,1975,2100,125,6.33,14616500,
ISAT,2019-01-11,1945,1975,30,1.54,6310200,
ISAT,2019-01-10,2250,1945,-305,-13.56,35247300,
ISAT,2019-01-09,1805,2250,445,24.65,78808600,
ISAT,2019-01-08,1765,1805,40,2.27,8600100,
ISAT,2019-01-07,1725,1765,40,2.32,5718800,
ISAT,2019-01-04,1650,1725,75,4.55,2955600,
ISAT,2019-01-03,1645,1650,5,0.30,1670200,
ISAT,2019-01-02,1685,1645,-40,-2.37,933700,
ISAT,2018-12-28,1690,1685,-5,-0.30,916400,
ISAT,2018-12-27,1700,1690,-10,-0.59,413400,
ISAT,2018-12-26,1730,1700,-30,-1.73,961800,
